id,name,phone,email,address,sex,total_bill,tip,day,time,size,foodquality,age
72,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,300,45,Mon,Dinner,3,Poor,23-27
73,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,230,24,Tue,Dinner,2,Poor,23-27
74,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,300,43,Wed,Dinner,3,Poor,23-27
75,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,299,34,Thu,Dinner,3,Average,23-27
76,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,400,43,Fri,Dinner,3,Average,23-27
77,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,240,23,Sat,Dinner,2,Average,23-27
78,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,475,43,Sun,Lunch,4,Average,23-27
79,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,230,32,Mon,Lunch,2,Average,28-32
80,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,230,34,Tue,Lunch,2,Average,28-32
81,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,243,42,Wed,Lunch,2,Average,28-32
82,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,200,34,Thu,Lunch,2,Average,28-32
83,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,140,34,Fri,Lunch,1,Average,28-32
84,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,240,32,Sat,Lunch,2,Average,28-32
85,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,302,34,Sun,Lunch,2,Average,28-32
86,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,504,54,Mon,Lunch,4,Average,28-32
87,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,230,54,Tue,Lunch,2,Average,28-32
88,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,250,34,Wed,Lunch,2,Average,28-32
89,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,256,43,Thu,Lunch,2,Average,28-32
90,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,342,55,Fri,Lunch,2,Average,23-27
91,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,240,54,Sat,Dinner,2,Average,23-27
92,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,450,50,Sun,Dinner,3,excellent,18-22
93,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,400,100,Mon,Dinner,4,excellent,18-22
94,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,550,100,Tue,Dinner,5,excellent,18-22
95,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,750,50,Wed,Dinner,6,excellent,18-22
96,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,850,200,Sun,Dinner,7,excellent,18-22
97,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,960,200,Fri,Dinner,8,excellent,18-22
98,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,960,200,Sat,Dinner,9,excellent,18-22
99,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,1200,120,Sun,Dinner,10,excellent,above-42
100,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,1200,120,Sun,Dinner,11,excellent,above-42
101,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,150,10,Tue,Lunch,1,excellent,above-42
102,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,251,50,Wed,Dinner,2,Average,above-42
103,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,450,50,Sun,Dinner,3,Average,above-42
104,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,600,200,Fri,Dinner,4,Average,above-42
105,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,500,50,Sat,Dinner,5,Average,18-22
106,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,850,200,Sun,Lunch,6,Average,18-22
107,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,850,200,Sun,Dinner,7,Average,18-22
108,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,850,200,Tue,Dinner,8,Poor,18-22
109,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,850,200,Wed,Dinner,9,Poor,18-22
110,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1200,120,Thu,Dinner,10,Poor,18-22
111,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1200,120,Sun,Dinner,11,Poor,18-22
112,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1200,120,Sun,Dinner,12,Poor,18-22
113,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,700,50,Sun,Dinner,5,Poor,18-22
114,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,600,60,Mon,Dinner,6,Poor,18-22
115,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,500,20,Tue,Dinner,6,Poor,18-22
116,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,560,50,Wed,Lunch,5,Poor,18-22
117,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,266,50,Sun,Lunch,2,Poor,18-22
118,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,267,50,Fri,Dinner,2,Average,18-22
119,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,268,50,Sat,Dinner,2,Good,18-22
120,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,269,50,Sun,Dinner,2,Good,18-22
121,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,270,50,Mon,Dinner,2,Good,18-22
122,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,271,50,Tue,Lunch,2,Good,18-22
123,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,272,50,Wed,Dinner,2,Good,33-37
124,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,273,50,Sun,Dinner,2,Good,33-37
125,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,750,100,Sun,Dinner,6,Good,33-37
126,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1200,120,Sat,Dinner,11,Good,33-37
127,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1200,120,Sun,Dinner,11,Good,33-37
128,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,1200,120,Mon,Dinner,12,Good,38-42
129,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,1200,120,Sun,Lunch,12,Good,38-42
130,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1200,120,Wed,Dinner,10,Good,38-42
131,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1250,200,Thu,Dinner,9,Poor,38-42
132,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,850,50,Fri,Lunch,9,Poor,38-42
133,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,1000,200,Sat,Lunch,9,Poor,38-42
134,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,850,200,Sun,Dinner,8,Poor,23-27
135,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,900,200,Mon,Dinner,8,Good,23-27
136,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,825,100,Sun,Lunch,7,Good,23-27
137,Amit Patel,7489254542,amitpatel@gmail.com,Bhopal,Male,600,100,Wed,Dinner,6,excellent,38-42
138,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,1400,200,Sun,Dinner,8,excellent,38-42
139,Prateeksha Patel,1234567890,prateekshapatel@gmail.com,Bhopal,female,1700,200,Fri,Lunch,10,excellent,38-42
